ID;lon;lat;all_tags;name;zip;address;city;WKT
199;13.18;52.53;DKV - JET Station  13581 Berlin  Brunsbütteler Damm 87-89;JET;13581;Brunsbütteler Damm 87-89;Berlin;POINT(13.1851869 52.5336593)
200;13.18;52.53;DKV - STAR Station  13581 Berlin  Brunsbütteler Damm 96;STAR;13581;Brunsbütteler Damm 96;Berlin;POINT(13.1839799 52.5345305)
201;13.18;52.54;DKV - SPREVES Station  13583 Berlin  Zeppelinstr. 51;SPREVES;13583;Zeppelinstr. 51;Berlin;POINT(13.183025 52.540123)
202;13.17;52.54;DKV - ESSO Station  13583 Berlin  Falkenseer Chaussee 50;ESSO;13583;Falkenseer Chaussee 50;Berlin;POINT(13.17897 52.549044)
203;13.19;52.53;DKV - SPRINT Station  13583 Berlin  Seegefelder Str. 41;SPRINT;13583;Seegefelder Str. 41;Berlin;POINT(13.191206 52.53594)
204;13.19;52.54;DKV - ARAL Station  13585 Berlin  Falkenseer Damm 16;ARAL;13585;Falkenseer Damm 16;Berlin;POINT(13.1999061 52.5422554)
205;13.20;52.55;DKV - TOTAL Station  13587 Berlin  Streitstr. 84;TOTAL;13587;Streitstr. 84;Berlin;POINT(13.207277 52.554486)
206;13.17;52.51;DKV - AGIP Station  13593 Berlin  Heerstr. 343;AGIP;13593;Heerstr. 343;Berlin;POINT(13.1753198 52.5173207)
207;13.17;52.51;DKV - ARAL Station  13593 Berlin  Heerstr. 325;ARAL;13593;Heerstr. 325;Berlin;POINT(13.1778771 52.5167918)
208;13.17;52.51;DKV - SHELL Station  13593 Berlin  Heerstr. 326/328;SHELL;13593;Heerstr. 326/328;Berlin;POINT(13.1784036 52.5168822)
